"object_id","term_taxonomy_id","term_order"
"1849","23","0"
"1849","216","0"
"1849","453","0"
"1849","454","0"
"1855","7","0"
"1855","13","0"
"1867","2","0"
"1867","10","0"
"1867","11","0"
"1867","13","0"
"1867","455","0"
"1872","2","0"
"1872","10","0"
"1872","11","0"
"1872","13","0"
"1872","456","0"
"1872","457","0"
"1872","458","0"
"1885","2","0"
"1885","7","0"
"1885","13","0"
"1885","190","0"
"1885","309","0"
"1885","459","0"
"1885","460","0"
"1899","2","0"
"1899","10","0"
"1899","12","0"
"1899","64","0"
"1899","462","0"
"1899","463","0"
"1899","464","0"
"1902","2","0"
"1902","12","0"
"1902","13","0"
"1902","64","0"
"1902","101","0"
"1902","106","0"
"1902","361","0"
"1902","364","0"
"1902","406","0"
"1902","465","0"
"1907","7","0"
"1907","13","0"
"1907","21","0"
"1907","132","0"
"1907","216","0"
"1907","387","0"
"1907","466","0"
"1907","467","0"
"1907","468","0"
"1919","7","0"
"1919","11","0"
"1919","12","0"
"1919","13","0"
"1919","84","0"
"1919","469","0"
"1929","2","0"
"1929","11","0"
"1929","12","0"
"1929","13","0"
"1929","14","0"
"1929","63","0"
"1929","106","0"
"1929","187","0"
"1929","364","0"
"1929","413","0"
"1937","2","0"
"1937","11","0"
"1937","12","0"
"1937","13","0"
"1937","28","0"
"1937","42","0"
"1937","64","0"
"1937","464","0"
"1947","2","0"
"1947","11","0"
"1947","13","0"
"1947","23","0"
"1947","471","0"
"1947","472","0"
"1955","2","0"
"1955","10","0"
"1955","11","0"
"1955","12","0"
"1955","13","0"
"1955","42","0"
"1955","473","0"
"1955","474","0"
"1955","475","0"
"1955","476","0"
"1955","477","0"
"1955","478","0"
"1963","2","0"
"1963","106","0"
"1963","133","0"
"1963","134","0"
"1967","2","0"
"1967","17","0"
"1967","386","0"
"1967","479","0"
"1971","2","0"
"1971","39","0"
"1971","64","0"
"1971","134","0"
"1971","183","0"
"1971","230","0"
"1971","464","0"
"1977","2","0"
"1977","63","0"
"1977","70","0"
"1977","72","0"
"1977","263","0"
"1979","12","0"
"1979","13","0"
"1979","64","0"
"1979","183","0"
"1979","212","0"
"1979","217","0"
"1979","479","0"
"1984","2","0"
"1984","480","0"
"1984","481","0"
"1988","2","0"
"1988","11","0"
"1988","12","0"
"1988","13","0"
"1988","23","0"
"1988","340","0"
"1999","2","0"
"1999","7","0"
"1999","13","0"
"1999","41","0"
"1999","298","0"
"2008","2","0"
"2008","7","0"
"2008","13","0"
"2008","124","0"
"2008","262","0"
"2008","411","0"
"2008","482","0"
"2027","2","0"
"2027","13","0"
"2027","39","0"
"2027","64","0"
"2027","77","0"
"2027","187","0"
"2027","204","0"
"2027","462","0"
"2027","464","0"
"2027","483","0"
"2027","484","0"
"2035","7","0"
"2035","15","0"
"2035","63","0"
"2035","485","0"
"2035","486","0"
"2038","7","0"
"2038","13","0"
"2038","387","0"
"2038","442","0"
"2038","487","0"
"2038","488","0"
"2038","489","0"
"2038","490","0"
"2038","491","0"
"2053","2","0"
"2053","7","0"
"2053","13","0"
"2053","63","0"
"2053","134","0"
"2053","138","0"
"2053","179","0"
"2053","318","0"
"2053","443","0"
"2053","446","0"
"2053","492","0"
"2053","493","0"
"2059","2","0"
"2059","7","0"
"2059","11","0"
"2059","13","0"
"2059","20","0"
"2059","141","0"
"2059","260","0"
"2059","286","0"
"2059","494","0"
"2070","11","0"
"2070","12","0"
"2070","13","0"
"2070","72","0"
"2070","167","0"
"2070","342","0"
"2070","495","0"
"2070","496","0"
"2077","2","0"
"2077","10","0"
"2077","11","0"
"2077","12","0"
"2077","13","0"
"2077","170","0"
"2077","224","0"
"2077","364","0"
"2077","497","0"
"2077","498","0"
"2077","499","0"
"2077","500","0"
"2093","2","0"
"2093","10","0"
"2093","11","0"
"2093","12","0"
"2093","13","0"
"2093","115","0"
"2093","242","0"
"2093","501","0"
"2093","502","0"
"2106","2","0"
"2106","11","0"
"2106","12","0"
"2106","13","0"
"2106","46","0"
"2106","60","0"
"2106","104","0"
"2106","503","0"
"2106","504","0"
"2106","505","0"
"2106","506","0"
"2117","10","0"
"2117","11","0"
"2117","12","0"
"2117","13","0"
"2117","340","0"
"2117","507","0"
"2122","2","0"
"2122","7","0"
"2122","11","0"
"2122","12","0"
"2122","13","0"
"2122","64","0"
"2122","364","0"
"2122","508","0"
"2133","7","0"
"2133","11","0"
"2133","12","0"
"2133","13","0"
"2133","18","0"
"2133","261","0"
"2133","262","0"
"2136","2","0"
"2136","12","0"
"2136","183","0"
"2136","230","0"
"2136","509","0"
"2148","2","0"
"2156","2","0"
"2156","11","0"
"2156","12","0"
"2156","13","0"
"2156","510","0"
"2156","511","0"
"2156","512","0"
"2165","10","0"
"2165","11","0"
"2165","12","0"
"2165","13","0"
"2165","72","0"
"2165","262","0"
"2165","473","0"
"2165","474","0"
"2165","475","0"
"2165","476","0"
"2165","477","0"
"2165","478","0"
"2165","513","0"
"2165","514","0"
"2165","515","0"
"2165","516","0"
"2177","11","0"
"2177","12","0"
"2177","13","0"
"2177","517","0"
"2177","518","0"
"2177","519","0"
"2208","2","0"
"2208","7","0"
"2208","10","0"
"2208","11","0"
"2208","12","0"
"2208","13","0"
"2208","432","0"
"2208","520","0"
"2208","521","0"
"2208","522","0"
"2208","523","0"
"2208","524","0"
"2220","2","0"
"2220","11","0"
"2220","12","0"
"2220","13","0"
"2220","525","0"
"2220","526","0"
"2229","2","0"
"2229","7","0"
"2229","11","0"
"2229","137","0"
"2229","217","0"
"2229","261","0"
"2229","262","0"
"2229","335","0"
"2229","527","0"
"2243","2","0"
"2243","7","0"
"2243","11","0"
"2243","12","0"
"2243","187","0"
"2243","208","0"
"2243","528","0"
"2249","2","0"
"2249","10","0"
"2249","13","0"
"2249","299","0"
"2249","479","0"
"2249","501","0"
"2249","511","0"
"2249","529","0"
"2264","13","0"
"2264","23","0"
"2264","286","0"
"2264","530","0"
"2264","531","0"
"2264","532","0"
"2264","533","0"
"2264","534","0"
"2266","11","0"
"2266","12","0"
"2266","13","0"
"2266","44","0"
"2266","46","0"
"2266","535","0"
"2275","11","0"
"2275","12","0"
"2275","13","0"
"2275","18","0"
"2275","134","0"
"2275","204","0"
"2275","242","0"
"2275","342","0"
"2275","417","0"
"2275","479","0"
"2275","536","0"
"2275","537","0"
"2283","2","0"
"2283","11","0"
"2283","12","0"
"2283","13","0"
"2283","204","0"
"2283","261","0"
"2283","410","0"
"2283","538","0"
"2283","539","0"
"2283","540","0"
"2291","7","0"
"2291","13","0"
"2291","25","0"
"2291","261","0"
"2291","262","0"
"2291","434","0"
"2291","541","0"
"2291","542","0"
"2291","543","0"
"2294","2","0"
"2294","65","0"
"2294","544","0"
"2294","545","0"
"2297","2","0"
"2305","2","0"
"2305","7","0"
"2305","13","0"
"2305","39","0"
"2305","63","0"
"2305","134","0"
"2305","187","0"
"2305","204","0"
"2310","2","0"
"2310","11","0"
"2310","12","0"
"2310","13","0"
"2310","39","0"
"2310","41","0"
"2310","85","0"
"2310","166","0"
"2310","391","0"
"2310","546","0"
"2310","547","0"
"2310","548","0"
"2310","549","0"
"2317","2","0"
"2317","11","0"
"2317","12","0"
"2317","44","0"
"2317","46","0"
"2317","513","0"
"2332","11","0"
"2332","12","0"
"2332","13","0"
"2332","28","0"
"2332","63","0"
"2332","72","0"
"2332","166","0"
"2332","263","0"
"2332","342","0"
"2339","13","0"
"2339","64","0"
"2339","242","0"
"2339","464","0"
"2344","2","0"
"2344","13","0"
"2344","64","0"
"2344","464","0"
"2372","13","0"
"2372","96","0"
"2372","216","0"
"2372","550","0"
"2384","2","0"
"2384","11","0"
"2384","13","0"
"2384","39","0"
"2384","127","0"
"2384","166","0"
"2384","215","0"
"2384","261","0"
"2384","410","0"
"2384","538","0"
"2384","539","0"
"2384","551","0"
"2413","11","0"
"2413","12","0"
"2413","13","0"
